b,g,r
126.1334457397461,145.2347869873047,195.7251434326172
126.83443450927734,145.42527770996094,196.28929138183594
126.8183364868164,145.48439025878906,196.3025665283203
126.32698059082031,145.34326171875,195.86434936523438
126.63214111328125,145.5801544189453,196.1437225341797
126.67291259765625,145.5852813720703,196.15350341796875
126.4620361328125,145.5670166015625,195.96983337402344
126.79935455322266,145.78857421875,196.2432403564453
126.75309753417969,145.78138732910156,196.22117614746094
126.5467529296875,145.6855010986328,196.08621215820312
126.59008026123047,145.7435302734375,196.12608337402344
126.70791625976562,145.820068359375,196.24241638183594
126.48165130615234,145.69915771484375,195.94850158691406
126.61907196044922,145.74517822265625,196.12506103515625
126.50572204589844,145.75201416015625,196.12158203125
126.96761322021484,145.7057342529297,196.35606384277344
126.52327728271484,145.80712890625,196.06825256347656
126.52794647216797,145.8885955810547,196.1291961669922
127.04740905761719,145.7155303955078,196.38185119628906
126.41531372070312,145.8593292236328,195.973388671875
126.45258331298828,145.87916564941406,196.03526306152344
126.6099853515625,145.69541931152344,196.05801391601562
127.11900329589844,145.8302001953125,196.46107482910156
127.0603256225586,145.81826782226562,196.4524383544922
126.48504638671875,145.6437225341797,196.02264404296875
126.98765563964844,145.78781127929688,196.38864135742188
126.99787902832031,145.7477569580078,196.3858184814453
126.37641143798828,145.5740966796875,195.9134521484375
126.81796264648438,145.7174530029297,196.26124572753906
126.78129577636719,145.7009735107422,196.25408935546875
126.3199691772461,145.6424560546875,195.91647338867188
126.81655883789062,145.7691192626953,196.29054260253906
126.91802978515625,145.83984375,196.3696746826172
126.37330627441406,145.6352081298828,195.94667053222656
126.72518157958984,145.7283477783203,196.2113800048828
126.68626403808594,145.73231506347656,196.1772003173828
126.29570770263672,145.6294403076172,195.88613891601562
126.82064819335938,145.83364868164062,196.30892944335938
126.74578857421875,145.7447967529297,196.22821044921875
126.39256286621094,145.64674377441406,195.97181701660156
126.83287048339844,145.8140869140625,196.30609130859375
126.85902404785156,145.80763244628906,196.30300903320312
126.23262786865234,145.5863800048828,195.8008575439453
126.79212951660156,145.79608154296875,196.2650909423828
126.69893646240234,145.77593994140625,196.2232666015625
126.3504638671875,145.65199279785156,195.8675994873047
126.63939666748047,145.7621612548828,196.12667846679688
126.67882537841797,145.7821502685547,196.15042114257812
126.34648895263672,145.79750061035156,195.92604064941406
126.6993179321289,145.92532348632812,196.20709228515625
126.6067123413086,145.8958740234375,196.15914916992188
126.43158721923828,145.96182250976562,196.0475311279297
126.78382110595703,146.10195922851562,196.3285675048828
126.82270812988281,146.1517333984375,196.3399200439453
126.43669891357422,146.0447540283203,196.00009155273438
126.82411193847656,146.129638671875,196.2916717529297
126.7735366821289,146.09783935546875,196.24839782714844
126.4881591796875,145.97645568847656,196.00865173339844
126.31766510009766,145.867431640625,195.86155700683594
126.30461883544922,145.81153869628906,195.88247680664062
126.63626861572266,145.95826721191406,196.1885528564453
126.48521423339844,145.85635375976562,196.02748107910156
126.2605972290039,145.79051208496094,195.81732177734375
126.57605743408203,145.93716430664062,196.13623046875
126.54850769042969,145.8798828125,196.0593719482422
126.15076446533203,145.7005157470703,195.74942016601562
126.3812255859375,145.76502990722656,195.9959259033203
126.34886932373047,145.76864624023438,195.96681213378906
126.12014770507812,145.76953125,195.8238525390625
126.44194793701172,145.79608154296875,196.09771728515625
126.44969940185547,145.788330078125,196.0496063232422
126.32745361328125,145.69561767578125,195.87159729003906
126.52709197998047,145.92086791992188,196.0612335205078
126.51627349853516,145.8689727783203,196.0517578125
126.28878021240234,145.65940856933594,195.81936645507812
126.45708465576172,145.81094360351562,195.91261291503906
126.48633575439453,145.84556579589844,195.9728240966797
126.32405853271484,145.65260314941406,195.7949981689453
126.48979949951172,145.85888671875,195.98126220703125
126.42941284179688,145.75485229492188,195.86361694335938
126.35063934326172,145.7286376953125,195.8269805908203
126.672119140625,145.88363647460938,196.1048126220703
126.48125457763672,145.83482360839844,195.98973083496094
126.33110809326172,145.7599334716797,195.79200744628906
126.59375762939453,145.89273071289062,195.9960479736328
126.55296325683594,145.80870056152344,195.96206665039062
126.20336151123047,145.728759765625,195.6783905029297
126.60658264160156,145.90867614746094,196.0048828125
126.5184097290039,145.7816925048828,195.90574645996094
126.28369140625,145.7914276123047,195.72421264648438
126.58393096923828,145.89178466796875,195.98526000976562
126.48767852783203,145.7992401123047,195.91796875
126.18608856201172,145.71556091308594,195.65676879882812
126.67364501953125,145.87107849121094,196.04489135742188
126.58208465576172,145.8365020751953,195.96022033691406
126.20500946044922,145.6503143310547,195.64932250976562
126.57798767089844,145.77601623535156,195.94815063476562
126.58592224121094,145.77410888671875,195.9300079345703
126.22318267822266,145.65667724609375,195.65830993652344
126.62149810791016,145.7715301513672,195.95074462890625
126.36125946044922,145.58868408203125,195.7198028564453
126.35370635986328,145.6141815185547,195.71615600585938
126.52194213867188,145.5903778076172,195.86119079589844
126.4542236328125,145.52505493164062,195.7427215576172
126.19844055175781,145.4998016357422,195.5678253173828
126.68024444580078,145.67965698242188,195.98585510253906
126.53050231933594,145.6014404296875,195.85128784179688
126.31029510498047,145.58456420898438,195.6697540283203
126.5361099243164,145.61769104003906,195.81951904296875
126.53871154785156,145.6619110107422,195.8564453125
126.20248413085938,145.51991271972656,195.56639099121094
126.53546905517578,145.6370086669922,195.8739471435547
126.48700714111328,145.5977783203125,195.82257080078125
126.3304214477539,145.57955932617188,195.6834259033203
126.53468322753906,145.70327758789062,195.89649963378906
126.5652084350586,145.68255615234375,195.84024047851562
126.3171157836914,145.5902862548828,195.62753295898438
126.37348175048828,145.6690673828125,195.69129943847656
126.21438598632812,145.60084533691406,195.51771545410156
126.52942657470703,145.7168426513672,195.8029327392578
126.4378662109375,145.69390869140625,195.74220275878906
126.34146881103516,145.7457733154297,195.66758728027344
126.63119506835938,145.8676300048828,195.88522338867188
126.77945709228516,145.9348907470703,195.98963928222656
126.41056823730469,145.79348754882812,195.70716857910156
126.6380386352539,145.8169403076172,195.88438415527344
126.64956665039062,145.87107849121094,195.9100799560547
